ANO,CO_MES,CO_PRDT,CO_GEO2,CO_GEO3,kt_true,kt_test,kt_test_lr,experiment_id,oc_true,oc_test,oc_proba
36,03,31,081,999,512.9385375976562,178.94391099396958,199.99643910725914,579b8fda-76b5-4f56-9246-058f4c6e8613,1.0,1.0,1.0
36,09,31,081,999,1472.42529296875,382.04312915416665,413.8995249430339,579b8fda-76b5-4f56-9246-058f4c6e8613,1.0,1.0,1.0
37,03,31,081,999,312.7794189453125,296.6079748850626,323.2178049723308,579b8fda-76b5-4f56-9246-058f4c6e8613,1.0,1.0,1.0
37,09,31,081,999,897.3781127929688,642.4895783045794,872.3731323242187,579b8fda-76b5-4f56-9246-058f4c6e8613,1.0,1.0,1.0
38,03,31,081,999,545.747802734375,337.21438311113627,357.3089502970377,579b8fda-76b5-4f56-9246-058f4c6e8613,1.0,1.0,1.0
38,09,31,081,999,665.6888427734375,776.4915705421686,1006.2999074300133,579b8fda-76b5-4f56-9246-058f4c6e8613,1.0,1.0,1.0
39,03,31,081,999,248.688720703125,321.38760142084146,474.5028249104819,579b8fda-76b5-4f56-9246-058f4c6e8613,1.0,1.0,1.0
39,09,31,081,999,1007.3642578125,793.940468239557,1014.3772867838547,579b8fda-76b5-4f56-9246-058f4c6e8613,1.0,1.0,1.0
40,03,31,081,999,165.0325927734375,330.90871909077964,445.11065928141295,579b8fda-76b5-4f56-9246-058f4c6e8613,1.0,1.0,1.0
40,09,31,081,999,874.9341430664062,894.0619564724876,1153.2728057861327,579b8fda-76b5-4f56-9246-058f4c6e8613,1.0,1.0,1.0
41,03,31,081,999,,304.30619692199946,360.0735758463543,579b8fda-76b5-4f56-9246-058f4c6e8613,,1.0,1.0
41,09,31,081,999,,920.2903112252632,1139.6031555175778,579b8fda-76b5-4f56-9246-058f4c6e8613,,1.0,1.0
