max_depth,max_features,min_samples_split,min_samples_leaf,fit_time_sec,experiment_id
34,144,13,2,0.18247365951538086,ae927cf8-bbcd-44d0-9be2-45d315deba92
144,610,3,3,0.21878910064697266,42078be4-7124-42c4-81aa-f0429c74a0d2
55,233,3,3,0.18680334091186523,342a735b-265c-4d76-9f59-27622c354ecb
144,144,3,3,0.13721799850463867,27de8d86-bccd-4d6a-8880-a8c7e8c41aff
144,13,3,3,0.20298218727111816,6c3d98fa-44c1-43a8-bef5-56245c6543a8
233,21,3,3,0.27550768852233887,75b84c6f-c968-491d-a175-3666a39eb2b3
1597,144,3,3,0.14373040199279785,ce661a09-056d-443d-b821-43ace58b79a3
4181,55,13,3,0.1814427375793457,86f687f7-ada7-4ff5-8278-6ce816f32bc5
1597,89,13,3,0.252335786819458,1222c3eb-54ab-48af-b596-3be3ff11a497
1597,987,13,3,0.33786463737487793,bdc19fcb-cec6-4189-afcf-c853d9c6ceb3
233,4181,5,2,0.24084043502807617,74a315ff-2333-4926-8676-5cbeb63e2b25
1597,2584,3,2,0.14322829246520996,0e198f66-ab1b-483d-abf8-49d66f64458c
